Metropolitan Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States (Metropolitan Portion) *,13789199172,14393209919,14893345239,15542504358,16258528721,16765528039,17466739239,18415353716,19221826248,18820861741
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1312974304,1400779267,1445252232,1507782786,1570332745,1638128941,1690244554,1790858079,1872165505,1809323397
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",742349632,770616431,799688139,833317955,882307124,910277065,957632371,1006224798,1055570390,1007037066
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",542384780,570954874,583070720,609478180,636938865,647455652,667153495,701954968,721906950,692988237
"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",329715792,363995871,382609214,412207012,443406281,472395545,519358950,562046311,595294620,588335543
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",438793743,448273184,455796805,469122707,488987413,508569360,525176093,547123109,566892038,561027941
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",359386458,377846407,396428072,417730688,438084248,456712675,480906203,511962537,540633961,534807251
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",382941351,406972648,429918372,441959625,461490275,453323711,473076363,505889766,509311540,488164627
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",341801133,357088355,366244863,379924795,403931138,418289875,434282612,462229528,488174288,480307073
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",351690659,367778658,377541289,394728109,407824145,414883706,418695981,435423852,450742192,439055118
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",251468132,269458587,285068194,302314756,320665748,336256816,360610815,393634702,419475451,426939963
"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",281302905,292330813,305248975,325002757,347744957,369995897,389471813,411660045,438936814,425443807
"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",254429721,261234789,273768947,288657230,308286885,322562832,340554337,360229870,376603207,365051489
"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",185788925,195823019,201280704,209291466,219956597,230743320,243103394,259286475,276914305,281004837
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",202332220,210304679,219793327,232315465,241312263,247968009,256332871,271255004,278263825,270282128
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",202095135,214466104,222515528,229737851,240955705,248634639,253209612,262062996,266607882,254533015
"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",173264401,178241243,188473150,197247964,207514333,211862374,222238592,232579152,242950042,240411072
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",147392855,154899048,164035645,173826485,184611894,190857987,199940107,213146127,227259597,223145760
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",158810789,163424445,169217635,175334844,183664932,192223283,198751559,205653047,212887514,205810923
"St. Louis, MO-IL (Metropolitan Statistical Area)",142235693,147315271,150924346,156102297,159904740,160781042,163129437,170039450,175382470,171493444
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",117019432,121305114,126082901,131043519,139192472,145593768,150980261,159127777,168393558,169269540
"Pittsburgh, PA (Metropolitan Statistical Area)",121777058,125989465,129714780,134382048,138983060,139778197,146344746,154553043,160161803,153369717
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",111299716,114925551,118113716,123839243,129891317,137024550,141265278,147216320,155975384,152618516
"Kansas City, MO-KS (Metropolitan Statistical Area)",103894280,110105218,113339423,118482056,124786888,126241319,131229263,136891092,143143828,142503483
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",107030320,110449446,112872376,117358397,120453851,122564223,125772276,131869832,137159236,133625837
"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",84916922,87426922,89244124,91129893,94320998,96117340,97476451,101719394,105601246,102400733
"Toronto, Ontario",309981000,322045000,332476000,349151000,364219000,385934000,405156000,421676000,435676000,451676000